,id,TYPE,POSTCONDITIONS_ACCEPT_OUTPUT,POSTCONDITIONS_REJECT_OUTPUT,SECOND_PERSON,THIRD_PERSON,QUOTES_SCRIPTURE,SCRIPTURE_BANK_VERSES,POSTCONDITIONS_ACCEPT_CONSEQUENTIAL_ACTIONS,POSTCONDITIONS_REJECT_CONSEQUENTIAL_ACTIONS
0,TEMPLATE,ACTUAL_GRACE,,,True,True,False,,,
1,READ_SCRIPTURE,ACTUAL_GRACE,"<1> picks up the scriptures, and reads: ",,,,True,Test,,
2,UNDERSTAND_MORAL_LAW,ACTUAL_GRACE,"<1> meditates, and finally begins to understand God's law ",<1> struggles and fails to understand the moral law,,,,,,
3,BEATEN_UP,TEMPTATION,"While meditating in a quiet place, <1> has a good thought regarding dealing with his passions and vices. He meditates on it and accepts this counsel into their life.","While praying in a quiet place, <1> receives advice in prayer on his predominant fault. <1> takes this personally. Temper lost, <1> begins to cry.",,,,,,
4,ESCAPING_A_PIT,TEMPTATION,"As <1> is walking in the <ENVIRONMENT>, <1> falls into a pit. Scrambling around and looking for a way out, <1> finds a rope hidden behind some branches, and uses this to climb out of the hole.","<1> falls into a pit. Unable to find any means of getting out, despite this being in <1>'s means, he calls for help. It begins to rain heavily. Eventually, the hole floods, allowing him to float to the top.",,,,,,
5,DEFUSING_A_FIGHT,ACTUAL_GRACE,"<1> stumbles across a fight. Remembering that the Peacemakers are blessed, he breaks up the fight by drawing the attention of the persons' away from each other. ","<1> walks into a fight. Being unreasonable, he joins in on one side, and this leads to <1> and this person beating the other person to a pulp",,,,,,
6,AVOIDING_STUMBLINGBLOCK,ACTUAL_GRACE,"<1> finds themselves facing an occasion to indulge their <PREDOMINANT_FAULT>. Recognising this, they avoid this deftly. ","<1> finds themselves facing an occasion to indulge their <PREDOMINANT_FAULT>. Being unaware of the danger, they indulge in this and fall",,,,,,
7,CIRCUMSPECTION,ACTUAL_GRACE,"<1> looks back on their life, realises their current mistakes, and then takes action to correct them. ",,,,,,,
8,AVOIDING_STUMBLINGBLOCK_CAUTION,ACTUAL_GRACE,"<1> finds themselves facing an occasion to indulge their <PREDOMINANT_FAULT>. Recognising this, they avoid this out of caution. ",<1> finds themselves facing an occasion to indulge their <PREDOMINANT_FAULT>. Being rashly go into this occasion and fall.,,,,,,
9,BAD_WORK,TEMPTATION,<1> resists the pull of laziness which would lead them to fail their work.,"<1> acts too quickly in work, leading to them ruining their action.",,,,,,
10,FAIL_EXERCISES,TEMPTATION,"<1> resists, through fortitude, the pull of sloth when doing his spiritual exercises.",<1> falls into sloth and neglects his spiritual exercises,,,,,,
11,NEGLIGENT_WORK,TEMPTATION,<1> resists the pull of rejecting his work out of negligence.,<1> neglects his work,,,,,,
12,SEDUCE,TEMPTATION,<1> refuses to seduce <2> when tempted,<1> seduces <2>,True,,,,,
13,DEFRAUD,TEMPTATION,<1> resists temptation to defraud <2>,<1> defrauds <2>,True,,,,,
14,OSTRACISE,TEMPTATION,<1> refuses to ostracise <2>,<1> ostracises <2>,True,,,,,
15,LIE,TEMPTATION,<1> refuses to lie to <2>,<1> lies to <2>,True,,,,,
16,SOLVE_DISPUTE,ACTUAL_GRACE,<1> solves a dispute between <2> and <3>.,<1> lets <2> and <3> argue.,True,True,,,,
17,ACTIVISM_COMMON_GOOD,ACTUAL_GRACE,<1> protests the perversion of justice away from the common good,<1> refuses to protest injustice that is contrary to the common good,,,,,,
18,PRAY_PSALM,ACTUAL_GRACE,<1> prays a Psalm for the Love of God: ,<1> refuses to pray,,,True,Test,,
19,PRAY_ROSARY,ACTUAL_GRACE,<1> prays a rosary for the Love of God.,<1> refuses to pray a rosary.,,,,,,
20,PRAY_MENTAL,ACTUAL_GRACE,<1> engages in mental prayer on the Passion of Christ.,<1> refuses to engage in mental prayer.,,,,,,
21,PRAY_HATED_PERSON,ACTUAL_GRACE,"<1> prays for <2>, whom they hate.",<1> refuses to pray for <2>,True,,,,,
22,OBEY_SUPERIOR,ACTUAL_GRACE,<1> obeys <2>,<1> refuses to obey <2>,True,,,,,
23,ARMY_JOIN,ACTUAL_GRACE,<1> serves a term in the army out of a sense of patriotism,<1> neglects his nation,,,,,,
24,MASS_STATE_OF_GRACE,ACTUAL_GRACE,<1> goes to mass devoutly and arduous for charity,<1> refuses to go to mass at the required time,,,,,,
25,MASS_MS,ACTUAL_GRACE,<1> goes to mass in a state of mortal sin,<1> refuses to go to mass at the required time,,,,,,
26,RECEIVE_COMMUNION_GRACE,ACTUAL_GRACE,<1> receives communion in a state of grace reverently,<1> refuses to receive communion despite state of grace,,,,,,
27,RECEIVE_COMMUNION_MS,TEMPTATION,<1> rightly refuses to receive communion in state of mortal sin.,<1> receives communion in a state of mortal sin.,,,,,,
28,MAKE_FRIENDS,ACTUAL_GRACE,<1> makes friends with <2> out of charity.,<1> refuses to make friends with <2>.,True,,,,,
29,APOLOGISE,ACTUAL_GRACE,<1> apologises to <2> for previous wrongs.,<1> refuses to apologise to <2> when given the opportunity.,True,,,,,
30,ALMS,ACTUAL_GRACE,<1> gives small alms to the poor for the Love of God.,<1> refuses to give alms to the poor,,,,,,
31,READ_LAW_EPIEIKEIA,ACTUAL_GRACE,<1> reads the law to gain the mind of the lawmaker,<1> refuses to learn the mind of the lawmaker,,,,,,
32,MURDER,TEMPTATION,<1> refuses to murder <2> when the thought crosses his mind,<1> murders <2>.,True,,,,,
33,MUTILATE,TEMPTATION,<1> refuses to attack <2>,<1> mutiliates <2> in callous violence,True,,,,,
34,STEAL_SMALL,TEMPTATION,<1> refuses to steal something small from <2>,<1> steals something small from <2>,True,,,,,
35,STEAL_BIG,TEMPTATION,<1> refuses to steal something big from <2>,<1> steals something big from <2> knowing it is wrong,True,,,,,
