Timestamp,Which of the Following Applies to you?,How old are you?,What is your gender,What is your highest level of education?,How often do you spend researching the Catholic Spiritual or Mortal Tradition in a week,Is the Character Realistic?,Their Life is.. (Calm/Tense),Their Life is.. (Boring/Entertaining),Their Life is.. (Attention grabbing),Their Life is..(Engrossing),Their Life is.. (Informative),Their Life is.. (Logical),Other Comments,Is the Character Realistic?2,Their Life is.. (Calm/Tense)2,Their Life is.. (Boring/Entertaining)2,Their Life is.. (Attention grabbing)2,Their Life is..(Engrossing)2,Their Life is.. (Informative)2,Their Life is.. (Logical)2,Other Comments2,Is the Character Realistic?3,Their Life is.. (Calm/Tense)3,Their Life is.. (Boring/Entertaining)3,Their Life is.. (Attention grabbing)3,Their Life is..(Engrossing)3,Their Life is.. (Informative)3,Their Life is.. (Logical)3,Other Comments3,Is the Character Realistic?4,Their Life is.. (Calm/Tense)4,Their Life is.. (Boring/Entertaining)4,Their Life is.. (Attention grabbing)4,Their Life is..(Engrossing)4,Their Life is.. (Informative)4,Their Life is.. (Logical)4,Other Comments4,Is the Character Realistic?5,Their Life is.. (Calm/Tense)5,Their Life is.. (Boring/Entertaining)5,Their Life is.. (Attention grabbing)5,Their Life is..(Engrossing)5,Their Life is.. (Informative)5,Their Life is.. (Logical)5,Other Comments5
8/30/2021 17:25:10,None of the Above,22-27,Female,Below GCSEs,5+ hours,4,4,3,3,4,4,1,N/A,3,4,3,3,2,4,2,N/A,2,4,3,2,2,2,2,N/A,4,4,4,4,4,4,3,N/A,2,2,2,2,2,2,2,N/A
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelor's Degree,5+ hours,2,5,5,5,4,3,2,N/A,2,4,4,5,5,3,2,N/A,3,4,3,4,4,3,2,N/A,2,4,4,4,4,3,2,N/A,2,4,4,4,4,3,2,N/A
8/30/2021 17:46:47,None of the Above,18-21,Male,Below GCSEs,30mins-1 hour,3,5,3,4,1,1,1,N/A,4,5,1,4,1,1,2,N/A,3,5,1,4,1,1,1,N/A,2,5,1,3,1,1,1,N/A,1,5,1,1,1,1,1,N/A
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelor's Degree,30mins-1 hour,2,5,2,3,3,4,1,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A,0,0,0,0,0,0,0,N/A
8/30/2021 17:54:25,I am a UK Resident,22-27,Trebuchet,A Levels/BTEC,<30 minutes,2,3,4,2,1,3,3,N/A,4,3,4,3,2,3,3,N/A,4,4,4,4,2,3,2,N/A,3,1,2,3,2,3,2,N/A,3,3,3,3,3,4,2,N/A
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelor's Degree,3-5 hours,2,4,2,2,2,2,1,"Their life doesn't follow a logical pattern in terms of falling from grace, and redemption.",1,1,1,2,2,1,1,"Series of events makes no sense, again.",1,3,1,1,1,1,1,"Again, no logical pattern to their spiritual life.",1,3,1,1,1,1,1,"Again, not logical, cannot receive communion in a state of grace.",1,3,1,1,1,1,1,Doesn't make sense.
8/30/2021 18:28:51,None of the Above,22-27,Male,Bachelor's Degree,30mins-1 hour,1,5,4,5,2,5,1,N/A,2,5,5,5,3,4,1,N/A,2,4,4,5,2,5,1,N/A,2,4,3,3,2,3,2,N/A,2,5,4,3,1,4,1,N/A
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,1,5,4,4,2,1,1,What.,2,4,3,3,2,1,2,Ok.,2,4,2,2,3,1,2,WHY ARE PEOPLE DESTROYING SACRED STATUES AND MURDERING?? How is that realistic.,3,3,1,2,2,1,2,lole,2,3,2,2,2,1,3,The one-liners are too repetitive and get boring to read
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Master's Degree,1-2 hours,2,5,3,5,4,2,3,"I can see there's a build up of bad actions so in a sense there is logic to it, with lesser sins building up to greater ones. Character motivations are hard to ascertain however. ",1,5,3,5,4,3,1,"This one seemed to not have a progression in morality, i.e. venial sins and mortal sins interspersed without a build up",1,5,3,4,4,3,1,N/A,1,5,2,4,3,2,1,A series of unfortunate events,2,4,3,3,3,2,1,N/A
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,5,5,1,2,"The character is consistent but lacks clear motives, influences or development and is conceivably a real person.
Most actions are outwardly inconsequential, but murder is enough to elevate the character to tense.
There is enough variety and effect in their actions that keeps it moderately entertaining.
Both the character and the narrative are very attention grabbing, as they are an extreme and often hostile personality.
The story is engrossing partly because it is uninformative and ambiguous. 
The life is chaotic as there are no clear motives or influences, yet displays a consistent character.",4,4,4,4,2,1,2,N/A,4,4,4,4,4,1,2,N/A,4,4,4,4,4,1,2,N/A,4,4,4,4,4,1,2,N/A
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Master's Degree,3-5 hours,2,5,2,2,2,3,1,N/A,2,3,2,2,3,3,3,N/A,4,4,4,4,4,3,2,N/A,2,4,3,3,3,2,1,N/A,3,3,4,4,2,2,2,N/A
