Timestamp,Which of the Following Applies to you?,How old are you?,What is your gender,What is your highest level of education?,How often do you spend researching the Catholic Spiritual or Mortal Tradition in a week,Is the Character Realistic?,Their Life is.. (Calm/Tense),Their Life is.. (Boring/Entertaining),Their Life is.. (Attention grabbing),Their Life is..(Engrossing),Their Life is.. (Informative),Their Life is.. (Logical)
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelors Degree,5+ hours,2,5,5,5,4,3,2
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelors Degree,30mins-1 hour,2,5,2,3,3,4,1
8/30/2021 17:54:25,I am a UK Resident,22-27,Other,A Levels/BTEC,<30 minutes,2,3,4,2,1,3,3
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelors Degree,3-5 hours,2,4,2,2,2,2,1
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,1,5,4,4,2,1,1
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Masters Degree,1-2 hours,2,5,3,5,4,2,3
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,5,5,1,2
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Masters Degree,3-5 hours,2,5,2,2,2,3,1
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelors Degree,5+ hours,2,4,4,5,5,3,2
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelors Degree,30mins-1 hour,?,?,?,?,?,?,?
8/30/2021 17:54:25,I am a UK Resident,22-27,Other,A Levels/BTEC,<30 minutes,4,3,4,3,2,3,3
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelors Degree,3-5 hours,1,1,1,2,2,1,1
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,2,4,3,3,2,1,2
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Masters Degree,1-2 hours,1,5,3,5,4,3,1
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,4,2,1,2
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Masters Degree,3-5 hours,2,3,2,2,3,3,3
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelors Degree,5+ hours,3,4,3,4,4,3,2
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelors Degree,30mins-1 hour,?,?,?,?,?,?,?
8/30/2021 17:54:25,I am a UK Resident,22-27,Other,A Levels/BTEC,<30 minutes,4,4,4,4,2,3,2
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelors Degree,3-5 hours,1,3,1,1,1,1,1
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,2,4,2,2,3,1,2
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Masters Degree,1-2 hours,1,5,3,4,4,3,1
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,4,4,1,2
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Masters Degree,3-5 hours,4,4,4,4,4,3,2
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelors Degree,5+ hours,2,4,4,4,4,3,2
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelors Degree,30mins-1 hour,?,?,?,?,?,?,?
8/30/2021 17:54:25,I am a UK Resident,22-27,Other,A Levels/BTEC,<30 minutes,3,1,2,3,2,3,2
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelors Degree,3-5 hours,1,3,1,1,1,1,1
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,3,3,1,2,2,1,2
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Masters Degree,1-2 hours,1,5,2,4,3,2,1
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,4,4,1,2
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Masters Degree,3-5 hours,2,4,3,3,3,2,1
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelors Degree,5+ hours,2,4,4,4,4,3,2
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelors Degree,30mins-1 hour,?,?,?,?,?,?,?
8/30/2021 17:54:25,I am a UK Resident,22-27,Other,A Levels/BTEC,<30 minutes,3,3,3,3,3,4,2
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelors Degree,3-5 hours,1,3,1,1,1,1,1
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,2,3,2,2,2,1,3
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Masters Degree,1-2 hours,2,4,3,3,3,2,1
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,4,4,1,2
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Masters Degree,3-5 hours,3,3,4,4,2,2,2
