Timestamp,Which of the Following Applies to you?,How old are you?,What is your gender,What is your highest level of education?,How often do you spend researching the Catholic Spiritual or Mortal Tradition in a week,Is the Character Realistic?,Their Life is.. (Calm/Tense),Their Life is.. (Boring/Entertaining),Their Life is.. (Attention grabbing),Their Life is..(Engrossing),Their Life is.. (Informative),Their Life is.. (Logical),Is the Character Realistic?2,Their Life is.. (Calm/Tense)2,Their Life is.. (Boring/Entertaining)2,Their Life is.. (Attention grabbing)2,Their Life is..(Engrossing)2,Their Life is.. (Informative)2,Their Life is.. (Logical)2,Is the Character Realistic?3,Their Life is.. (Calm/Tense)3,Their Life is.. (Boring/Entertaining)3,Their Life is.. (Attention grabbing)3,Their Life is..(Engrossing)3,Their Life is.. (Informative)3,Their Life is.. (Logical)3,Is the Character Realistic?4,Their Life is.. (Calm/Tense)4,Their Life is.. (Boring/Entertaining)4,Their Life is.. (Attention grabbing)4,Their Life is..(Engrossing)4,Their Life is.. (Informative)4,Their Life is.. (Logical)4,Is the Character Realistic?5,Their Life is.. (Calm/Tense)5,Their Life is.. (Boring/Entertaining)5,Their Life is.. (Attention grabbing)5,Their Life is..(Engrossing)5,Their Life is.. (Informative)5,Their Life is.. (Logical)5
8/30/2021 17:25:10,None of the Above,22-27,Female,Below GCSEs,5+ hours,4,4,3,3,4,4,1,3,4,3,3,2,4,2,2,4,3,2,2,2,2,4,4,4,4,4,4,3,2,2,2,2,2,2,2
8/30/2021 17:35:40,I am a UK Citizen,22-27,Male,Bachelors Degree,5+ hours,2,5,5,5,4,3,2,2,4,4,5,5,3,2,3,4,3,4,4,3,2,2,4,4,4,4,3,2,2,4,4,4,4,3,2
8/30/2021 17:46:47,None of the Above,18-21,Male,Below GCSEs,30mins-1 hour,3,5,3,4,1,1,1,4,5,1,4,1,1,2,3,5,1,4,1,1,1,2,5,1,3,1,1,1,1,5,1,1,1,1,1
8/30/2021 17:52:22,I am a UK Citizen,22-27,Female,Bachelors Degree,30mins-1 hour,2,5,2,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/30/2021 17:54:25,I am a UK Resident,22-27,Trebuchet,A Levels/BTEC,<30 minutes,2,3,4,2,1,3,3,4,3,4,3,2,3,3,4,4,4,4,2,3,2,3,1,2,3,2,3,2,3,3,3,3,3,4,2
8/30/2021 18:00:25,I am a UK Citizen,28-35,Male,Bachelors Degree,3-5 hours,2,4,2,2,2,2,1,1,1,1,2,2,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1
8/30/2021 18:28:51,None of the Above,22-27,Male,Bachelors Degree,30mins-1 hour,1,5,4,5,2,5,1,2,5,5,5,3,4,1,2,4,4,5,2,5,1,2,4,3,3,2,3,2,2,5,4,3,1,4,1
8/30/2021 21:12:02,I am a UK Resident,<18,Male,A Levels/BTEC,<30 minutes,1,5,4,4,2,1,1,2,4,3,3,2,1,2,2,4,2,2,3,1,2,3,3,1,2,2,1,2,2,3,2,2,2,1,3
8/30/2021 23:42:03,I am a UK Resident,22-27,Female,Masters Degree,1-2 hours,2,5,3,5,4,2,3,1,5,3,5,4,3,1,1,5,3,4,4,3,1,1,5,2,4,3,2,1,2,4,3,3,3,2,1
09/01/2021 14:50,I am a UK Citizen,18-21,Male,A Levels/BTEC,<30 minutes,4,4,4,5,5,1,2,4,4,4,4,2,1,2,4,4,4,4,4,1,2,4,4,4,4,4,1,2,4,4,4,4,4,1,2
09/02/2021 16:33,I am a UK Citizen,22-27,Male,Masters Degree,3-5 hours,2,5,2,2,2,3,1,2,3,2,2,3,3,3,4,4,4,4,4,3,2,2,4,3,3,3,2,1,3,3,4,4,2,2,2
